publication:free_lance_star,newspaperincity,city:fredericksburg,0.99951175
newspaper:philadelphia_enquirer,newspaperincity,city:area,1.0
website:the_seattle_times,newspaperincity,city:washington,0.75
newspaper:excelsior,newspaperincity,city:santa_ana,1.0
newspaper:el_heraldo,newspaperincity,city:plymouth,0.875
newspaper:giornale,newspaperincity,city:bologna,0.96875
website:telegram___gazette,newspaperincity,city:toronto,0.875
newspaper:vida_newspaper,newspaperincity,city:oxnard,1.0
website:denver_post,newspaperincity,city:denver,0.9375
website:hindustan_times,newspaperincity,city:new_delhi,0.75
newspaper:desert_sun,newspaperincity,city:palm_springs,0.9921875
website:dagens_nyheter,newspaperincity,city:stockholm,0.875
newspaper:pittsburgh_tribune,newspaperincity,city:pittsburgh,1.0
website:cnet_news,newspaperincity,city:new_york_city,0.75
newspaper:star_ledger,newspaperincity,city:newark,1.0
newspaper:an_nahar,newspaperincity,city:beirut,0.96875
website:la_daily_news,newspaperincity,city:los_angeles,1.0
newspaper:press_enterprise,newspaperincity,city:riverside,0.984375
website:the_commercial_appeal,newspaperincity,city:memphis,0.9961298029937788
website:toronto_star,newspaperincity,city:toronto,1.0
newspaper:the_stranger,newspaperincity,city:seattle,0.75
website:journal,newspaperincity,city:white_plains,0.9690384239502307
website:globe_and_mail,newspaperincity,city:toronto,0.9999847412109375
newspaper:korea_herald,newspaperincity,city:seoul,0.875
newspaper:forum,newspaperincity,city:fargo,0.984375
website:pravda,newspaperincity,city:moscow,0.75
newspaper:l_unione_sarda,newspaperincity,city:cagliari,0.96875
newspaper:el_observador,newspaperincity,city:costa_rica,1.0
newspaper:o_globo,newspaperincity,city:rio,0.8793235761349726
newspaper:star_telegram,newspaperincity,city:fort_worth,0.75
website:oakland_tribune,newspaperincity,city:san_francisco,0.9375
newspaper:herald_sun,newspaperincity,county:durham,0.9375
website:bangkok_post,newspaperincity,city:bangkok,0.75
website:virginian,newspaperincity,county:norfolk,0.999755875
newspaper:la_times,newspaperincity,city:los_angeles,1.0
newspaper:l_a__weekly,newspaperincity,city:l_a_,0.9375
newspaper:ledger,newspaperincity,city:lakeland,0.984375
newspaper:al_hayat,newspaperincity,city:london,0.9924577235056746
newspaper:york_times,newspaperincity,city:washington,0.9999999981373549
newspaper:sun_news,newspaperincity,city:myrtle_beach,0.875
newspaper:enterprise,newspaperincity,city:brockton,0.75
newspaper:boston_phoenix,newspaperincity,city:boston,0.9999999996774634
website:daily_express,newspaperincity,city:london,0.96875
newspaper:haaretz,newspaperincity,city:tel_aviv,0.7586471521981855
newspaper:idaho_statesman,newspaperincity,city:boise,0.984375
newspaper:the_hollywood_reporter,newspaperincity,city:los_angeles,0.9375
newspaper:city_paper,newspaperincity,city:nashville,0.75
website:the_age,newspaperincity,city:melbourne,0.96875
newspaper:korea_times,newspaperincity,city:seoul,0.9375
newspaper:canadian_press,newspaperincity,city:ottawa,0.875
newspaper:record,newspaperincity,city:hackensack,0.996094
website:washington_times,newspaperincity,city:washington,0.998046875
website:cnn__the_wall_street_journal,newspaperincity,city:new_york_city,1.0
website:daily_oklahoman,newspaperincity,city:oklahoma_city,0.875
website:herald_dispatch,newspaperincity,city:huntington,0.969036769845856
newspaper:republic,newspaperincity,city:columbus,0.75
website:bay_area_reporter,newspaperincity,city:san_francisco,0.75
website:daily_herald,newspaperincity,city:provo,0.75
website:scotsman,newspaperincity,city:edinburgh,0.8793235761349726
newspaper:daily_record,newspaperincity,city:baltimore,0.96875
website:daily_telegraph,newspaperincity,city:nashua_nh,1.0
newspaper:radikal,newspaperincity,city:istanbul,0.96875
newspaper:frontier_post,newspaperincity,city:peshawar,0.875
newspaper:komsomolskaya_pravda,newspaperincity,city:moscow,0.75
newspaper:herald_times,newspaperincity,city:bloomington,0.9375
website:news_tribune,newspaperincity,city:tacoma,0.996094
newspaper:asharq_al_awsat,newspaperincity,city:london,0.7586471522699452
newspaper:la_presse,newspaperincity,city:montreal,0.969830894028925
website:daily_sentinel,newspaperincity,city:grand_junction,0.75
website:detroit_news,newspaperincity,city:detroit,0.875
website:el_nuevo_herald,newspaperincity,city:miami,0.75
website:the_ohio_state_university,newspaperincity,city:columbia,0.875
newspaper:el_universal,newspaperincity,city:mexico_city,0.9703278873667877
newspaper:advocate,newspaperincity,city:baton_rouge,0.99609375
website:the_san_jose_mercury_news,newspaperincity,city:san_francisco,0.96875
website:free_press,newspaperincity,city:mankato,0.9375
website:cbs,newspaperincity,city:washington,0.9375
newspaper:navajo_times,newspaperincity,city:window_rock,0.998046875
website:nbc_news,newspaperincity,city:washington,0.875
website:bloomberg_news,newspaperincity,city:washington,0.75
newspaper:gazette,newspaperincity,city:colorado_springs,0.984375
newspaper:el_sol,newspaperincity,city:visalia,1.0
newspaper:register_guard,newspaperincity,city:eugene,0.9990234375
newspaper:la_repubblica,newspaperincity,city:rome,0.8793235761156999
website:new_york_times,newspaperincity,city:new_york_city,1.0
website:arizona_daily_star,newspaperincity,city:tucson,0.984375
website:east_valley_tribune,newspaperincity,city:mesa,0.75
website:evening_news,newspaperincity,city:edinburgh,0.75
newspaper:l_express,newspaperincity,city:paris,0.75
website:state_journal_register,newspaperincity,city:springfield,0.875
newspaper:el_pais,newspaperincity,city:madrid,0.753759196396262
newspaper:herald_journal,newspaperincity,city:spartanburg,0.75
website:the_financial_times,newspaperincity,city:london,1.0
website:daily_times,newspaperincity,city:lahore,0.8793235761156999
website:patriot_ledger,newspaperincity,city:quincy,0.875
newspaper:el_mercurio,newspaperincity,city:santiago,0.875
website:times_herald,newspaperincity,city:port_huron,0.8795888269092923
website:the_sydney_morning_herald,newspaperincity,city:sydney,0.984375
website:the_plain_dealer,newspaperincity,city:cleveland,0.984375
website:wisconsin_state_journal,newspaperincity,city:madison,0.875
newspaper:leaf_chronicle,newspaperincity,city:clarksville,0.875
newspaper:plain_dealer,newspaperincity,city:cleveland,0.998046875
website:chicago_tribune,newspaperincity,city:chicago,1.0
newspaper:le_figaro,newspaperincity,city:paris,0.875
